dataset,column,N,epsilon_pct,epsilon_abs,ratio,max_err,query_mean_us,codec
jena,"p (mbar)",420551,0.0000,0.000000,3.4327,0.000000,0.35,RAW_STATS
jena,"p (mbar)",420551,0.0100,0.010175,3.4327,0.000000,0.30,PLA_CHEB
jena,"p (mbar)",420551,0.1000,0.101750,3.4327,0.000000,0.35,PLA_CHEB
jena,"p (mbar)",420551,0.5000,0.508750,1.7245,0.508750,0.35,RAW_STATS
jena,"p (mbar)",420551,1.0000,1.017500,1.8475,1.017500,0.35,RAW_STATS
jena,"T (degC)",420551,0.0000,0.000000,2.6164,0.000000,0.50,RAW_STATS
jena,"T (degC)",420551,0.0100,0.006029,2.6164,0.000000,0.35,PLA_CHEB
jena,"T (degC)",420551,0.1000,0.060290,2.6164,0.000000,0.35,PLA_CHEB
jena,"T (degC)",420551,0.5000,0.301450,1.3208,0.301447,0.35,RAW_STATS
jena,"T (degC)",420551,1.0000,0.602900,1.5663,0.602890,0.40,RAW_STATS
jena,"Tpot (K)",420551,0.0000,0.000000,2.6164,0.000000,0.50,RAW_STATS
jena,"Tpot (K)",420551,0.0100,0.006074,2.6164,0.000000,0.35,PLA_CHEB
jena,"Tpot (K)",420551,0.1000,0.060740,2.6164,0.000000,0.30,PLA_CHEB
jena,"Tpot (K)",420551,0.5000,0.303700,1.3217,0.303697,0.35,RAW_STATS
jena,"Tpot (K)",420551,1.0000,0.607400,1.5661,0.607398,0.35,RAW_STATS
jena,"Tdew (degC)",420551,0.0000,0.000000,2.6907,0.000000,0.35,RAW_STATS
jena,"Tdew (degC)",420551,0.0100,0.004812,2.6907,0.000000,0.40,PLA_CHEB
jena,"Tdew (degC)",420551,0.1000,0.048120,2.6907,0.000000,0.35,PLA_CHEB
jena,"Tdew (degC)",420551,0.5000,0.240600,1.3162,0.240592,0.35,RAW_STATS
jena,"Tdew (degC)",420551,1.0000,0.481200,1.5632,0.481200,0.35,RAW_STATS
jena,"rh (%)",420551,0.0000,0.000000,2.5754,0.000000,0.35,RAW_STATS
jena,"rh (%)",420551,0.0100,0.008705,2.5754,0.000000,0.35,PLA_CHEB
jena,"rh (%)",420551,0.1000,0.087050,2.5754,0.000000,0.35,PLA_CHEB
jena,"rh (%)",420551,0.5000,0.435250,2.5754,0.000000,0.35,PLA_CHEB
jena,"rh (%)",420551,1.0000,0.870500,1.1200,0.870490,0.35,RAW_STATS
jena,"VPmax (mbar)",420551,0.0000,0.000000,2.7661,0.000000,0.35,RAW_STATS
jena,"VPmax (mbar)",420551,0.0100,0.006282,2.7661,0.000000,0.35,PLA_CHEB
jena,"VPmax (mbar)",420551,0.1000,0.062820,0.9945,0.062814,0.40,RAW_STATS
jena,"VPmax (mbar)",420551,0.5000,0.314100,1.3586,0.314094,0.35,RAW_STATS
jena,"VPmax (mbar)",420551,1.0000,0.628200,1.5842,0.628197,0.40,RAW_STATS
jena,"H2OC (mmol/mol)",420551,0.0000,0.000000,2.9839,0.000000,0.30,RAW_STATS
jena,"H2OC (mmol/mol)",420551,0.0100,0.002802,2.9839,0.000000,0.40,PLA_CHEB
jena,"H2OC (mmol/mol)",420551,0.1000,0.028020,2.9839,0.000000,0.35,PLA_CHEB
jena,"H2OC (mmol/mol)",420551,0.5000,0.140100,1.2851,0.140100,0.45,RAW_STATS
jena,"H2OC (mmol/mol)",420551,1.0000,0.280200,1.5167,0.280197,0.35,RAW_STATS
jena,"wv (m/s)",420551,0.0000,0.000000,2.5593,0.000000,0.35,RAW_STATS
jena,"wv (m/s)",420551,0.0100,1.002749,1.4652,1.002744,0.35,RAW_STATS
jena,"wv (m/s)",420551,0.1000,10.027490,1.6847,9.963824,0.35,RAW_STATS
jena,"wv (m/s)",420551,0.5000,50.137450,1.7191,26.320312,0.35,RAW_STATS
jena,"wv (m/s)",420551,1.0000,100.274900,1.7280,26.322988,0.35,RAW_STATS
jena,"max. wv (m/s)",420551,0.0000,0.000000,2.5593,0.000000,0.35,RAW_STATS
jena,"max. wv (m/s)",420551,0.0100,1.002250,1.2140,1.002250,0.35,RAW_STATS
jena,"max. wv (m/s)",420551,0.1000,10.022500,1.6367,10.022385,0.35,RAW_STATS
jena,"max. wv (m/s)",420551,0.5000,50.112500,1.6626,16.355899,0.35,RAW_STATS
jena,"max. wv (m/s)",420551,1.0000,100.225000,1.6671,17.002054,0.35,RAW_STATS
